Time, Mass, Net Force, Y-Acceleration, Y-velocity, Altitude
87.750000, 327075.925926, 3390658.443896, 10.366579, 514.400330, 17982.034881
87.875000, 327075.925926, 3391255.021684, 10.368403, 515.696380, 18046.496928
88.000000, 327075.925926, 3391857.454467, 10.370245, 516.992661, 18111.121011
88.125000, 324613.580247, 3416449.990910, 10.524667, 518.308244, 18175.909541
88.250000, 324613.580247, 3417046.817176, 10.526506, 519.624057, 18240.862549
88.375000, 324613.580247, 3417649.548552, 10.528363, 520.940103, 18305.980061
88.500000, 324613.580247, 3418258.123806, 10.530238, 522.256382, 18371.262109
88.625000, 324613.580247, 3418872.481573, 10.532130, 523.572899, 18436.708722
88.750000, 324613.580247, 3419492.560366, 10.534040, 524.889654, 18502.319928
88.875000, 324613.580247, 3420118.298581, 10.535968, 526.206650, 18568.095760
89.000000, 324613.580247, 3420749.634504, 10.537913, 527.523889, 18634.036246
89.125000, 322151.234568, 3445366.895265, 10.694874, 528.860748, 18700.143839
89.250000, 322151.234568, 3445992.493256, 10.696816, 530.197850, 18766.418570
89.375000, 322151.234568, 3446623.735216, 10.698775, 531.535197, 18832.860470
89.500000, 322151.234568, 3447260.558356, 10.700752, 532.872791, 18899.469569
89.625000, 322151.234568, 3447902.899790, 10.702746, 534.210634, 18966.245898
89.750000, 322151.234568, 3448550.696539, 10.704757, 535.548729, 19033.189489
89.875000, 322151.234568, 3449203.885543, 10.706785, 536.887077, 19100.300374
90.000000, 322151.234568, 3449862.403662, 10.708829, 538.225681, 19167.578584
90.125000, 319688.888889, 3474502.577981, 10.868387, 539.584229, 19235.026613
90.250000, 319688.888889, 3475155.213308, 10.870429, 540.943033, 19302.644492
90.375000, 319688.888889, 3475813.220312, 10.872487, 542.302094, 19370.432254
90.500000, 319688.888889, 3476476.534820, 10.874562, 543.661414, 19438.389930
90.625000, 319688.888889, 3477145.092593, 10.876653, 545.020995, 19506.517555
90.750000, 319688.888889, 3477818.829336, 10.878760, 546.380840, 19574.815160
90.875000, 319688.888889, 3478497.680702, 10.880884, 547.740951, 19643.282779
91.000000, 319688.888889, 3479181.582300, 10.883023, 549.101329, 19711.920445
91.125000, 317226.543210, 3503842.781438, 11.045238, 550.481984, 19780.730693
91.250000, 317226.543210, 3504520.643112, 11.047375, 551.862905, 19849.713556
91.375000, 317226.543210, 3505203.594060, 11.049528, 553.244096, 19918.869068
91.500000, 317226.543210, 3505891.568902, 11.051697, 554.625559, 19988.197263
91.625000, 317226.543210, 3506584.502227, 11.053881, 556.007294, 20057.698174
91.750000, 317226.543210, 3507282.328600, 11.056081, 557.389304, 20127.371837
